assessment_id,title,description,category,skills_measured,domain,difficulty,duration_min,ideal_role
1,Python Coding Challenge,"Tests Python programming, data structures, and logic building",Technical,"python, coding, algorithms",Software Engineering,Intermediate,45,"ML Engineer, Backend Dev"
2,Machine Learning Fundamentals,"Evaluates understanding of ML concepts, models, and evaluation metrics",Technical,"regression, classification, sklearn",Data Science,Intermediate,50,"Data Scientist, ML Intern"
3,Data Analytics Test,"Measures ability to interpret datasets and extract insights using Python or Excel",Technical,"pandas, visualization, statistics",Analytics,Beginner,40,"Data Analyst, BI Intern"
4,SQL Query Proficiency,"Tests SQL query writing and database comprehension",Technical,"sql, joins, normalization",Database,Beginner,30,"Data Analyst, Database Engineer"
5,Cognitive Ability Test,"Assesses reasoning, problem solving, and numerical aptitude",Cognitive,"reasoning, logic, math",General,Intermediate,25,"Any Graduate Role"
6,Numerical Reasoning Test,"Measures ability to analyze and solve math-based problems",Cognitive,"quantitative reasoning",General,Intermediate,30,Business Analyst
7,Logical Thinking Assessment,"Tests pattern recognition and deductive reasoning",Cognitive,"logic, puzzles",General,Intermediate,25,"Consultant, Analyst"
8,English Language Proficiency,"Evaluates grammar, vocabulary, and comprehension",Language,"grammar, vocabulary, reading",Communication,Beginner,20,"Customer Service, Content Writer"
9,Communication & Presentation Skills,"Measures verbal communication and clarity",Behavioral,"articulation, speaking",Management,Intermediate,20,"Manager, Presenter"
10,AI Ethics & Fairness,"Tests knowledge of bias, transparency, and fairness in AI systems",Technical,"ai ethics, bias detection",AI,Advanced,30,"AI Research Intern"
11,Leadership Style Profiler,"Evaluates leadership decision-making and motivation style",Behavioral,"leadership, decision-making",Management,Intermediate,25,"Team Lead, Project Manager"
12,Emotional Intelligence Test,"Measures empathy, adaptability, and interpersonal understanding",Behavioral,"empathy, emotional control",Psychology,Intermediate,30,"HR, Team Lead"
13,Cloud Fundamentals,"Tests basic understanding of AWS, Azure, and GCP services",Technical,"cloud, devops, virtualization",Cloud,Beginner,35,"Cloud Intern, DevOps Intern"
14,Neural Network Architecture Test,"Evaluates deep learning understanding including CNNs, RNNs",Technical,"pytorch, tensorflow, cnn",Deep Learning,Advanced,45,"AI Engineer, DL Intern"
15,NLP & Text Processing,"Measures ability to preprocess and analyze textual data",Technical,"nltk, text cleaning, sentiment analysis",NLP,Intermediate,45,"NLP Engineer, Research Intern"
16,R Programming Skills,"Tests knowledge of R syntax, data visualization, and analysis",Technical,"R, ggplot2, tidyverse",Data Science,Intermediate,30,Data Analyst
17,Cybersecurity Awareness Test,"Evaluates understanding of basic security concepts",Technical,"cybersecurity, encryption",Security,Beginner,30,Security Intern
18,Generative AI Applications,"Tests understanding of LLMs, prompt engineering, and RAG pipelines",Technical,"gpt, langchain, embeddings",AI,Advanced,50,"AI Research Intern"
19,Business Acumen Test,"Measures understanding of business processes and KPIs",Cognitive,"strategy, decision-making",Business,Intermediate,25,Business Analyst
20,Creativity & Problem Solving,"Evaluates innovation, ideation, and lateral thinking",Behavioral,"creativity, innovation",General,Intermediate,25,"Product Designer, Consultant"
21,React.js Development Test,"Tests React components, hooks, and state management",Technical,"react, javascript, frontend",Web Development,Intermediate,40,"Frontend Developer, React Intern"
22,Data Structures & Algorithms,"Evaluates understanding of fundamental data structures and algorithms",Technical,"algorithms, data structures, complexity",Computer Science,Intermediate,60,"Software Engineer, SDE"
23,Statistical Analysis Proficiency,"Measures statistical testing and data interpretation skills",Technical,"statistics, hypothesis testing, R",Data Science,Intermediate,45,"Data Scientist, Statistician"
24,Project Management Fundamentals,"Tests knowledge of project planning and execution methodologies",Behavioral,"project management, agile, scrum",Management,Beginner,35,"Project Coordinator, PM Intern"
25,UI/UX Design Principles,"Evaluates understanding of user-centered design and prototyping",Behavioral,"design thinking, wireframing, usability",Design,Intermediate,40,"UI Designer, UX Researcher"
26,DevOps Practices Assessment,"Tests CI/CD, containerization, and infrastructure as code knowledge",Technical,"docker, kubernetes, jenkins",DevOps,Advanced,50,"DevOps Engineer, SRE"
27,Financial Modeling Test,"Measures ability to build financial models and analyze statements",Cognitive,"financial analysis, modeling, excel",Finance,Advanced,55,"Financial Analyst, Investment Banker"
28,Digital Marketing Knowledge,"Evaluates SEO, SEM, and social media marketing concepts",Cognitive,"seo, analytics, marketing",Marketing,Intermediate,30,"Digital Marketer, Growth Hacker"
29,Java Programming Assessment,"Tests Java OOP concepts, collections, and multithreading",Technical,"java, oop, multithreading",Software Engineering,Intermediate,45,"Java Developer, Backend Engineer"
30,Critical Thinking Evaluation,"Measures analytical reasoning and evidence evaluation",Cognitive,"critical thinking, analysis",General,Intermediate,25,"Consultant, Researcher"
31,Time Management Skills,"Assesses prioritization and productivity techniques",Behavioral,"time management, organization",Management,Beginner,20,"Any Professional Role"
32,Blockchain Fundamentals,"Tests understanding of blockchain technology and cryptocurrencies",Technical,"blockchain, smart contracts, crypto",Blockchain,Intermediate,35,"Blockchain Developer, Crypto Analyst"
33,Public Speaking Assessment,"Evaluates presentation delivery and audience engagement",Behavioral,"public speaking, confidence",Communication,Intermediate,25,"Sales, Trainer, Presenter"
34,IoT Systems Knowledge,"Tests Internet of Things architecture and protocols",Technical,"iot, sensors, networking",IoT,Intermediate,40,"IoT Engineer, Embedded Systems"
35,Quality Assurance Testing,"Measures software testing methodologies and bug reporting",Technical,"testing, qa, automation",Software Engineering,Beginner,30,"QA Engineer, Test Analyst"
36,Negotiation Skills Assessment,"Evaluates persuasion and conflict resolution abilities",Behavioral,"negotiation, persuasion",Management,Intermediate,30,"Sales, Business Development"
37,Big Data Technologies,"Tests knowledge of Hadoop, Spark, and distributed computing",Technical,"hadoop, spark, big data",Data Engineering,Advanced,50,"Data Engineer, Big Data Analyst"
38,Team Collaboration Test,"Measures teamwork and communication in group settings",Behavioral,"teamwork, collaboration",Management,Beginner,25,"Team Member, Coordinator"
39,Mobile App Development,"Tests iOS/Android development concepts and frameworks",Technical,"mobile development, swift, kotlin",Mobile Development,Intermediate,45,"Mobile Developer, App Engineer"
40,Risk Management Assessment,"Evaluates risk identification and mitigation strategies",Cognitive,"risk analysis, decision-making",Finance,Intermediate,35,"Risk Analyst, Project Manager"
41,Web Security Fundamentals,"Tests common vulnerabilities and security best practices",Technical,"web security, owasp, https",Security,Intermediate,40,"Security Analyst, Web Developer"
42,Customer Service Skills,"Measures customer interaction and problem resolution",Behavioral,"customer service, empathy",Customer Service,Beginner,25,"Support Agent, CSR"
